IF2006.CFE,,,,,,
time,open,high,low,close,volume,oi
2020/6/3 10:04,3981.2,3981.2,3974.6,3976,1084,83262
2020/6/3 10:05,3975.8,3978,3975.2,3976,623,83180
2020/6/3 10:06,3975.6,3978.2,3973.8,3978,594,83160
2020/6/3 10:07,3977.6,3979.8,3977.6,3978.8,271,83095
2020/6/3 10:08,3978.6,3978.8,3977.2,3977.6,126,83054
2020/6/3 10:09,3977.6,3977.6,3975,3975.4,337,83059
2020/6/3 10:10,3975.4,3977.2,3973.4,3976.6,537,83066
2020/6/3 10:11,3976.4,3976.8,3975.2,3976.8,210,83046
2020/6/3 10:12,3976.2,3979.4,3975.6,3978.6,291,83051
2020/6/3 10:13,3978.8,3979.4,3978.2,3978.8,187,83025
2020/6/3 10:14,3978.6,3982,3978.6,3981.8,358,82967
2020/6/3 10:15,3981.8,3982,3979,3979.2,318,82926
2020/6/3 10:16,3979.2,3980,3978.6,3979.4,195,82920
2020/6/3 10:17,3980,3980,3978.4,3979.2,198,82915
2020/6/3 10:18,3979.6,3981.8,3979,3981.6,314,82920
2020/6/3 10:19,3981,3981.6,3978,3978.4,261,82929
2020/6/3 10:20,3978.4,3979,3974.6,3976.4,388,82921
2020/6/3 10:21,3976.2,3979.4,3975.8,3979.4,307,82860
2020/6/3 10:22,3979.2,3979.8,3977.2,3977.4,157,82839
2020/6/3 10:23,3977.4,3977.8,3975.2,3977,154,82840
2020/6/3 10:24,3976.8,3978.2,3975.8,3977.6,136,82807
2020/6/3 10:25,3977.4,3977.8,3976.6,3977,125,82784
2020/6/3 10:26,3977,3977,3974,3975,296,82784
2020/6/3 10:27,3975,3976.6,3973.4,3973.4,211,82770
2020/6/3 10:28,3973.4,3975,3972.8,3974,244,82711
2020/6/3 10:29,3974,3975.8,3973.8,3975.2,210,82673
2020/6/3 10:30,3975.2,3975.2,3968.6,3969.4,729,82658
2020/6/3 10:31,3970,3970.2,3967.2,3967.8,472,82618
2020/6/3 10:32,3967.8,3970.8,3967.4,3969.4,361,82654
2020/6/3 10:33,3969.4,3971.4,3968.6,3970.4,259,82654
2020/6/3 10:34,3970.4,3971.8,3970,3970.8,188,82647
2020/6/3 10:35,3970.8,3973,3970.4,3972.8,203,82608
2020/6/3 10:36,3972.8,3975.8,3972,3973.6,292,82601
2020/6/3 10:37,3973.8,3974.4,3971.8,3972,167,82637
2020/6/3 10:38,3972,3972.4,3970.4,3970.4,114,82632
2020/6/3 10:39,3970.2,3971.4,3969,3971,140,82636
2020/6/3 10:40,3970.4,3971.2,3968.6,3971.2,169,82627
2020/6/3 10:41,3970.8,3975.4,3970.8,3974.2,249,82646
2020/6/3 10:42,3974.8,3975.6,3973.2,3975.4,190,82671
2020/6/3 10:43,3975.2,3976,3974.4,3974.6,133,82678
2020/6/3 10:44,3974.8,3975.4,3973.8,3974.4,84,82686
2020/6/3 10:45,3974.8,3975,3973.6,3974.8,114,82694
2020/6/3 10:46,3974.6,3974.8,3970.8,3971.4,238,82705
2020/6/3 10:47,3971.4,3972.6,3970.8,3971,176,82740
2020/6/3 10:48,3971,3971.4,3969.8,3970,143,82733
2020/6/3 10:49,3970,3972,3969.4,3970,92,82733
2020/6/3 10:50,3970.4,3974,3969.6,3973.2,179,82750
2020/6/3 10:51,3973.2,3975,3972.2,3975,151,82737
2020/6/3 10:52,3975,3975,3972,3973.2,97,82739
2020/6/3 10:53,3973.2,3976.2,3973.2,3976,227,82786
2020/6/3 10:54,3976.2,3976.4,3973.8,3976,281,82790
2020/6/3 10:55,3976,3978.6,3975.8,3978.6,300,82827
2020/6/3 10:56,3978.4,3979.6,3977,3979.6,329,82848
2020/6/3 10:57,3979.6,3981,3978.8,3979,376,82951
2020/6/3 10:58,3979.2,3979.2,3977,3977.2,146,82975
2020/6/3 10:59,3977.4,3977.6,3975.4,3975.4,196,82966
2020/6/3 11:00,3975.4,3975.4,3972,3973.4,385,83005
2020/6/3 11:01,3973.6,3975.6,3972.8,3975.6,169,83011
2020/6/3 11:02,3975.6,3977.8,3975.2,3976.6,254,83058
2020/6/3 11:03,3977,3977,3974.6,3975,133,83082
2020/6/3 11:04,3974.8,3974.8,3972.4,3973,291,83088
2020/6/3 11:05,3973.2,3973.8,3972.2,3973,154,83098
2020/6/3 11:06,3972.8,3973.6,3971.8,3973,134,83114
2020/6/3 11:07,3973.2,3973.2,3969.8,3970.2,259,83109
2020/6/3 11:08,3970.2,3970.2,3965.8,3967,571,83165
2020/6/3 11:09,3967.2,3969.2,3966.4,3967.6,306,83203
2020/6/3 11:10,3967.8,3969.6,3967.6,3968.2,196,83235
2020/6/3 11:11,3968.2,3971,3967.8,3970.6,254,83339
2020/6/3 11:12,3970.4,3972,3969.6,3970.2,197,83347
2020/6/3 11:13,3970.2,3971.8,3968.8,3969.2,178,83352
2020/6/3 11:14,3969,3970.6,3968.4,3969.6,159,83364
2020/6/3 11:15,3969.2,3971.2,3968.6,3971.2,101,83370
2020/6/3 11:16,3971.2,3971.2,3969.6,3970,178,83433
2020/6/3 11:17,3969.8,3973.4,3969.4,3973.4,191,83501
2020/6/3 11:18,3973,3973.4,3970.4,3970.4,197,83570
2020/6/3 11:19,3970.8,3971.8,3970,3970.8,105,83568
2020/6/3 11:20,3971.4,3972,3970.4,3971.6,90,83600
2020/6/3 11:21,3972,3975.6,3971.6,3975.2,268,83675
2020/6/3 11:22,3975.6,3978.8,3975,3976.6,437,83765
2020/6/3 11:23,3976.6,3977,3974.8,3975.2,223,83842
2020/6/3 11:24,3975.2,3975.8,3974.8,3975.6,86,83867
2020/6/3 11:25,3975.4,3975.6,3972.2,3973.8,201,83910
2020/6/3 11:26,3973.8,3975,3973.2,3974.8,84,83910
2020/6/3 11:27,3975,3975.6,3974.4,3974.8,68,83927
2020/6/3 11:28,3974.6,3977.8,3974.2,3976.8,243,83997
2020/6/3 11:29,3977,3977,3974.6,3976.6,240,84040
2020/6/3 11:30,,,,,0,84040
2020/6/3 13:00,3977.8,3979.2,3974.6,3976.4,367,84138
2020/6/3 13:01,3976.4,3978.2,3976,3977,162,84199
2020/6/3 13:02,3977.2,3977.8,3975.8,3976,192,84269
2020/6/3 13:03,3976.2,3978,3976.2,3977.6,145,84313
2020/6/3 13:04,3977.2,3978.2,3977.2,3977.6,88,84305
2020/6/3 13:05,3977.6,3978,3974.8,3975.2,251,84321
2020/6/3 13:06,3975.4,3975.6,3974.2,3974.6,214,84358
2020/6/3 13:07,3974.6,3976,3973.8,3976,153,84381
2020/6/3 13:08,3976.2,3976.8,3975.4,3976.2,101,84377
2020/6/3 13:09,3976.6,3976.8,3974.6,3976.8,143,84403
2020/6/3 13:10,3976.8,3976.8,3974.6,3976.2,131,84414
2020/6/3 13:11,3976.2,3979.6,3976.2,3977.6,317,84477
2020/6/3 13:12,3977.6,3979.8,3977.6,3979.6,165,84496
2020/6/3 13:13,3979.6,3981.8,3979.6,3981,343,84527
2020/6/3 13:14,3980.8,3981,3978.8,3979,153,84591
2020/6/3 13:15,3979.2,3981,3978.6,3980.6,253,84653
2020/6/3 13:16,3980.6,3980.6,3977.8,3979,185,84693
2020/6/3 13:17,3978.4,3979.8,3977.8,3978.8,230,84797
2020/6/3 13:18,3979,3979.6,3978.2,3978.8,141,84841
2020/6/3 13:19,3978.8,3980.4,3978.6,3979.8,197,84904
2020/6/3 13:20,3979.6,3979.8,3975.8,3976.6,361,85010
2020/6/3 13:21,3977.2,3978.8,3976.8,3977.2,192,85040
2020/6/3 13:22,3977.6,3977.8,3976.4,3977,113,85053
2020/6/3 13:23,3977,3978,3976.6,3977.4,115,85047
2020/6/3 13:24,3977.6,3978.4,3976.8,3978,145,85045
2020/6/3 13:25,3978,3978.4,3974.8,3974.8,239,85017
2020/6/3 13:26,3974.8,3976.2,3974.6,3975.2,131,85022
2020/6/3 13:27,3975.4,3975.4,3970.2,3971.8,686,85248
2020/6/3 13:28,3971.4,3972.4,3970.2,3970.2,456,85373
2020/6/3 13:29,3970.4,3972,3968.6,3969.2,464,85509
2020/6/3 13:30,3969.2,3969.2,3964.2,3966.6,847,85740
2020/6/3 13:31,3966.6,3969.2,3966.6,3969,310,85897
2020/6/3 13:32,3968.6,3971,3968.2,3971,300,86035
2020/6/3 13:33,3971,3971.2,3968.4,3969,238,86158
2020/6/3 13:34,3969,3969.8,3967,3968.4,250,86231
2020/6/3 13:35,3968.4,3970,3967,3968.2,244,86336
2020/6/3 13:36,3967.4,3968.8,3967.2,3967.8,204,86392
2020/6/3 13:37,3968,3970.6,3968,3969.8,156,86460
2020/6/3 13:38,3969.8,3970.8,3968.6,3970.2,197,86496
2020/6/3 13:39,3969.6,3971.8,3969.6,3970.2,167,86567
2020/6/3 13:40,3970,3970.4,3968.6,3969.4,119,86580
2020/6/3 13:41,3969.2,3970,3968.6,3969.4,105,86619
2020/6/3 13:42,3969.8,3971.8,3969.4,3971.2,124,86653
2020/6/3 13:43,3971.8,3973.6,3971.2,3973.6,281,86734
2020/6/3 13:44,3973.6,3973.8,3972.6,3972.8,172,86800
2020/6/3 13:45,3972.4,3972.6,3969.8,3970.2,217,86872
2020/6/3 13:46,3970.2,3972,3969.8,3970,140,86914
2020/6/3 13:47,3970,3972.2,3970,3971.4,136,86934
2020/6/3 13:48,3971.2,3974.8,3971.2,3973.6,309,87048
2020/6/3 13:49,3974.2,3974.2,3972.6,3973,99,87062
2020/6/3 13:50,3973,3973,3971.2,3971.6,147,87088
2020/6/3 13:51,3971.4,3972.6,3971.2,3972.2,48,87098
2020/6/3 13:52,3972.2,3972.2,3970,3970,98,87104
2020/6/3 13:53,3970.2,3971.6,3969.6,3971.4,152,87164
2020/6/3 13:54,3971.4,3972.2,3971.2,3971.6,62,87191
2020/6/3 13:55,3971,3972.2,3971,3972,75,87210
2020/6/3 13:56,3972.4,3972.4,3970.6,3971,70,87240
2020/6/3 13:57,3971.2,3971.8,3968.6,3969,157,87296
2020/6/3 13:58,3969,3971.6,3968.4,3971.4,175,87361
2020/6/3 13:59,3972.2,3972.8,3971.2,3972.8,148,87407
